zcta,stab,border_dyad,segment_id,S_i,dist_km,d_ic
25928,WV,MD-WV,MD-WV_173,0,244.9308574460357,-244.9308574460357
25972,WV,MD-WV,MD-WV_173,0,168.97704499467378,-168.97704499467378
25989,WV,MD-WV,MD-WV_173,0,217.87437542643437,-217.87437542643437
26062,WV,MD-WV,MD-WV_007,0,120.71602263215584,-120.71602263215584
26143,WV,MD-WV,MD-WV_173,0,162.6069474434185,-162.6069474434185
26218,WV,MD-WV,MD-WV_173,0,78.25650411674117,-78.25650411674117
26301,WV,MD-WV,MD-WV_149,0,76.04679812599458,-76.04679812599458
26342,WV,MD-WV,MD-WV_173,0,118.26744771338282,-118.26744771338282
26376,WV,MD-WV,MD-WV_173,0,97.0739937438755,-97.0739937438755
26437,WV,MD-WV,MD-WV_075,0,88.30868608530395,-88.30868608530395
26537,WV,MD-WV,MD-WV_084,0,19.515832960813064,-19.515832960813064
26585,WV,MD-WV,MD-WV_047,0,80.44789975931445,-80.44789975931445
26720,WV,MD-WV,MD-WV_193,0,1.425558920689249,-1.425558920689249
26739,WV,MD-WV,MD-WV_210,0,9.69414999436795,-9.69414999436795
26845,WV,MD-WV,MD-WV_294,0,30.08908484080313,-30.08908484080313
26884,WV,MD-WV,MD-WV_173,0,40.75036959275495,-40.75036959275495
26289,WV,MD-WV,MD-WV_173,0,24.04475112788301,-24.04475112788301
24738,WV,MD-WV,MD-WV_173,0,265.9383354965734,-265.9383354965734
24740,WV,MD-WV,MD-WV_173,0,245.6592715608583,-245.6592715608583
24816,WV,MD-WV,MD-WV_173,0,274.07637733111403,-274.07637733111403
24828,WV,MD-WV,MD-WV_173,0,267.95317447406654,-267.95317447406654
24854,WV,MD-WV,MD-WV_173,0,244.29668399486903,-244.29668399486903
24879,WV,MD-WV,MD-WV_173,0,289.6630427833853,-289.6630427833853
24892,WV,MD-WV,MD-WV_173,0,285.5121892812093,-285.5121892812093
24849,WV,MD-WV,MD-WV_173,0,248.08285412524785,-248.08285412524785
25666,WV,MD-WV,MD-WV_173,0,281.917109931028,-281.917109931028
25670,WV,MD-WV,MD-WV_173,0,283.2861516718338,-283.2861516718338
25676,WV,MD-WV,MD-WV_173,0,282.964471461636,-282.964471461636
24851,WV,MD-WV,MD-WV_173,0,271.6544896147554,-271.6544896147554
25646,WV,MD-WV,MD-WV_173,0,258.6840143132305,-258.6840143132305
25649,WV,MD-WV,MD-WV_173,0,269.58983123284105,-269.58983123284105
25650,WV,MD-WV,MD-WV_173,0,262.0669426451759,-262.0669426451759
25654,WV,MD-WV,MD-WV_173,0,259.3118118843862,-259.3118118843862
25156,WV,MD-WV,MD-WV_173,0,193.35039335711252,-193.35039335711252
25160,WV,MD-WV,MD-WV_173,0,184.35070656608363,-184.35070656608363
25161,WV,MD-WV,MD-WV_173,0,203.51025613619933,-203.51025613619933
25624,WV,MD-WV,MD-WV_173,0,259.41812422355906,-259.41812422355906
25628,WV,MD-WV,MD-WV_173,0,261.1132458548027,-261.1132458548027
25632,WV,MD-WV,MD-WV_173,0,266.39621175624603,-266.39621175624603
25638,WV,MD-WV,MD-WV_173,0,275.5872282985524,-275.5872282985524
25015,WV,MD-WV,MD-WV_173,0,203.664208434493,-203.664208434493
25021,WV,MD-WV,MD-WV_173,0,238.53397633117385,-238.53397633117385
25162,WV,MD-WV,MD-WV_173,0,198.10533998973585,-198.10533998973585
