stabbr,year,weighted_in_state,weighted_out_of_state,inst_count,total_in_state_enr,total_out_state_enr
SD,2016,3725.584561403509,6638.398260028999,12,4275,2069
TN,2016,5826.643096449971,22555.72301991663,23,31042,2159
TX,2016,5271.84730807679,12068.587395081726,105,98034,6791
UT,2016,4956.568549949624,17491.30787037037,8,12903,3456
VA,2016,8099.18970210192,25877.208177960652,40,26452,7777
VI,2016,4410,13230,1,338,17
VT,2016,11418.944751381216,34335.276773296246,6,1448,2157
WA,2016,8103.185079067717,26643.170451579223,44,18149,3831
WI,2016,6789.146815937341,19675.301702808905,31,23492,6871
WV,2016,5589.925808161102,18242.633100955332,24,9435,3873
WY,2016,2422.9859154929577,8992.670321064996,8,1704,1277
AK,2017,5922.348660939869,19628,4,1979,213
AL,2017,6240.3851501856225,23518.164659078353,40,29630,9049
AR,2017,5172.298744712785,17413.875558867363,35,14658,4026
AS,2017,3300,3600,1,242,22
AZ,2017,8645.676653514345,23412.471590909092,29,14953,10912
CA,2017,4134.143354528496,20198.182128628345,146,196743,22841
CO,2017,7011.2474707789015,25670.930635050423,29,20362,7338
CT,2017,6236.509490810485,29330.587918015102,22,13276,1854
DC,2017,4752,10896,1,152,68
DE,2017,7240.4368,28362.698654183732,3,3750,3418
FL,2017,3120.0611713435374,14925.8187654321,46,75264,6075
FM,2017,4050,NA,1,496,0
GA,2017,4433.957282193481,21057.23051948052,54,51571,4312
GU,2017,5040,12096,2,485,5
HI,2017,5521.239735099338,24805.70197486535,10,4530,1114
IA,2017,5752.985719677907,18724.412096657503,19,15896,6911
ID,2017,5026.239415102576,18100.27303754266,8,4582,1758
IL,2017,10373.743387547232,24152.807927717866,60,24348,3431
IN,2017,7203.645393313218,28208.993174470124,16,32811,8351
KS,2017,5576.088795997213,16158.678374655647,33,15789,4356
KY,2017,7503.8944009414745,22348.760616153206,24,22093,4804
LA,2017,5231.75729247206,12295.76838397182,32,28454,2271
MA,2017,5286.716174217553,23360.840148698884,30,22845,2959
MD,2017,6807.365252651279,19077.899163921968,29,12824,3947
ME,2017,5689.36501676198,21371.800165152767,15,5071,1211
MH,2017,3500,NA,1,273,0
MI,2017,11262.396821386159,34873.523109540634,47,39577,7075
MN,2017,7359.975111706881,17797.43298725814,43,22380,4238
MO,2017,6121.377936909108,18226.12485681558,29,21366,5238
MP,2017,3078,4560,1,227,5
MS,2017,4910.207511003834,18082.719481524473,23,14086,5169
MT,2017,4385.651752767528,20565.392427884617,17,4336,1664
NC,2017,3667.9526083223386,19861.666666666668,75,47751,4911
ND,2017,5051.826300294406,16652.632861871803,14,4076,3323
NE,2017,4884.382380418535,15646.849288168876,15,10704,2037
NH,2017,10158.891838741396,24610.58860168172,12,4068,3211
NJ,2017,9322.517923925932,18911.073414112616,32,21926,1403
NM,2017,4512.267024848892,13377.301391862955,28,7445,1868
NV,2017,5230.813833370761,19595.677284595302,7,8906,1915
NY,2017,5632.638327017616,16017.031876437726,81,78112,6086
OH,2017,7817.957884076965,22061.066588235295,62,50361,8500
OK,2017,4018.6747322691454,15398.902282588191,30,19796,5301
OR,2017,6527.861132594311,25768.12276834913,26,11637,4537
PA,2017,11137.798786016523,24194.060509835053,58,39704,11337
PR,2017,1810.1750570075426,3900,19,11402,28
PW,2017,2640,NA,1,145,0
RI,2017,7216.6034390112845,26775.2409221902,3,3722,1735
SC,2017,9179.695685509165,21037.934491746306,33,14347,5755
SD,2017,5389.579831932773,10458.432484382509,12,4284,2081
TN,2017,5605.86678537644,22701.720698254365,23,35942,2406
TX,2017,5607.829014366718,13579.105031267765,105,96821,7036
UT,2017,5137.3972343113855,18123.67139796465,8,14246,3734
VA,2017,8487.686660567246,26911.052276559865,40,27325,8302
VI,2017,4630,13892,1,344,18
VT,2017,11722.83201153569,35663.199306759096,6,1387,2308
WA,2017,7322.459327086883,27212.859562607206,44,18784,4664
WI,2017,6835.027769367187,20731.42748091603,31,23119,7336
WV,2017,5746.358382107023,19060.71101535147,24,9568,3713
WY,2017,2514.9078498293516,9481.762909090909,8,1758,1375
AK,2018,5852.366006256517,19436.408163265307,4,1918,196
AL,2018,6416.535805012015,24095.952056881666,40,29130,9845
AR,2018,5318.695392191347,17765.47687250528,35,14215,4259
AS,2018,3300,3600,1,272,20
AZ,2018,8983.160079814625,23644.786363636365,29,15536,9680
CA,2018,4482.136626570544,21813.685984624484,147,197941,21983
CO,2018,7242.129272339417,26219.73997555012,29,21095,8180
CT,2018,6726.592112371691,29655.051816557476,22,12957,1679
DC,2018,4896,11232,1,144,96
DE,2018,7193.14736052039,28660.97298884322,3,3997,3406
FL,2018,3119.6115567261263,14645.271122112212,46,75177,6060
FM,2018,4050,NA,1,600,0
GA,2018,4596.040351083883,20563.324675324675,53,50928,4774
GU,2018,5040,8763.42857142857,2,416,7
HI,2018,5791.04940970704,25197.08936170213,10,4574,940
IA,2018,6098.952438790513,19568.249641731156,19,15643,6978
ID,2018,5195.047560726679,18821.727128503437,8,4899,1891
IL,2018,10705.46565154249,24259.320084951458,60,22723,3296
IN,2018,7467.148773648758,28334.78977076374,15,31027,8681
KS,2018,5705.288189665957,16252.19178653325,33,15986,4797
KY,2018,7807.058192457737,23562.299892125135,24,21532,4635
LA,2018,5196.188560314087,10709.843367596672,31,27763,2043
MA,2018,5787.63563388079,23856.440592393134,30,21676,2971
MD,2018,6999.326611068992,20083.165609584215,29,13190,4257
ME,2018,5854.558764540714,22749.900573613766,15,4986,1569
MH,2018,3500,NA,1,273,0
MI,2018,11829.261540040541,37492.328779718904,47,38973,7613
MN,2018,7572.0018926591865,18906.129080756014,43,22191,4656
MO,2018,6235.777223294572,17697.3554981203,29,21241,4256
MP,2018,3078,4560,1,273,1
MS,2018,5402.817046025705,17418.34549280954,23,13927,5702
MT,2018,4680.0891299221885,21246.619047619046,17,4241,1764
NC,2018,3767.5385162559105,19413.49028400598,75,47798,5352
ND,2018,5217.628059550845,17238.53573538098,14,3963,3386
NE,2018,5162.947387551113,16578.844717861688,16,11005,2357
NH,2018,10320.402518891688,24955.909478517548,12,3970,3049
NJ,2018,10157.747198120029,19632.1932938856,32,22128,1521
NM,2018,4174.528059586491,14329.55905511811,28,7787,1905
NV,2018,5446.548774902679,19633.6887592789,7,8734,1886
NY,2018,5769.586062270139,16438.82823490921,81,79396,6113
OH,2018,7838.234499646089,22560.76901904657,61,52273,9083
OK,2018,4222.314290145797,16653.3619926909,29,19342,5199
OR,2018,6678.819514578921,26103.59675097676,26,12278,4863
PA,2018,11527.050199979489,25331.6043814433,58,39004,12416
PR,2018,1835.1888489208634,4371.681818181818,19,11676,66
PW,2018,2640,3000,1,130,1
RI,2018,8139.90716105293,27957.573319216517,3,3533,1889
SC,2018,9447.12821990434,21056.246904315198,33,17353,5330
SD,2018,5536.455234833659,10552.02735426009,12,4088,2230
TN,2018,5865.414179941665,23341.067894131185,23,35656,2607
TX,2018,5950.557031153035,14891.594561355561,105,96684,7318
UT,2018,5238.243724326791,18944.114041698067,8,15337,3981
VA,2018,8888.041931982634,27623.973570520964,40,27640,7870
VI,2018,4631,13892,1,302,13
VT,2018,12355.326226012794,36769.72676659529,6,1407,2335
WA,2018,7359.209705284553,26728.00270758123,43,19680,4432
WI,2018,6881.123296791088,22026.637111141565,34,22531,7297
WV,2018,6052.099017920421,20427.135734795094,23,9877,3831
WY,2018,2629.691716950082,9740.450951683748,8,1823,1366
AK,2019,6934.124485596708,22583.13145539906,4,1944,213
AL,2019,6777.492189085007,25367.11113419194,38,29574,9628
AR,2019,5275.7865350722595,18866.91847419596,35,14185,4011
AS,2019,3300,NA,1,269,0
AZ,2019,9205.169136773335,24111.901995936416,29,16531,8367
CA,2019,4387.7255394474005,23011.099029745365,147,202244,21953
CO,2019,7487.234374277123,26469.49923807291,29,21615,8531
CT,2019,7069.036183486239,31246.18124606671,22,13625,1589
DC,2019,5028,11556,1,205,92
DE,2019,8190.931464968153,29786.674725892604,3,3925,3557
FL,2019,3102.320907638725,14778.34442836469,46,76374,6219
FM,2019,4050,NA,1,572,0
GA,2019,4685.573097508105,19938.229109371696,51,52129,4727
GU,2019,5040,11318.4,2,408,10
HI,2019,5862.186654643823,25249.747348119578,10,4436,1037
IA,2019,6293.373041368911,19416.60318906606,24,15253,6585
ID,2019,5470.641398827573,20024.369760479043,8,4947,2004
IL,2019,10904.082743382784,24888.761695906433,60,22177,3420
IN,2019,7680.842008276219,28725.911771129067,16,30932,9158
KS,2019,5840.67461669506,15779.013732833957,33,15849,4806
KY,2019,7925.982851817334,23894.22840605521,24,21460,4492
LA,2019,5177.0973664959765,10742.55389375967,31,27340,1939
MA,2019,5948.695945023438,24834.552464788732,29,21973,2840
MD,2019,7204.063459866706,22080.878521939954,30,13804,4330
ME,2019,5974.232605590696,23682.6292004635,17,4901,1726
MH,2019,3500,NA,1,256,0
MI,2019,12278.633172040183,37976.183344348974,47,38026,7565
MN,2019,7664.59803302355,21410.0412972973,43,22166,4625
MO,2019,6353.355053382486,17535.37221431958,30,20887,4218
MP,2019,3078,4560,1,284,3
MS,2019,5631.304577077994,18515.23446105429,23,13655,5084
MT,2019,4849.4581058628055,21800.889447236183,17,4213,1990
NC,2019,3638.842926127607,19082.98088207458,75,48665,5283
ND,2019,5574.279161528976,14018.937464142284,14,4055,3486
NE,2019,5385.082196934073,17330.434722858452,18,10633,2183
NH,2019,10796.220464135022,26213.405296681194,12,3792,2983
NJ,2019,10710.135594632886,22920.657620985978,32,23998,2211
NM,2019,4341.914630908125,14566.211704834606,28,7532,1965
NV,2019,5512.551604938271,20709.460088691794,7,10125,1804
NY,2019,5937.126448356752,16356.848713325684,81,84406,6101
OH,2019,8127.784388227187,22576.80897727273,61,50795,8800
OK,2019,4510.924886926556,17312.848033126294,29,18572,4830
OR,2019,6741.769144594703,26961.07709299757,26,12497,4527
PA,2019,11679.771265560166,26084.52663571127,58,38560,11845
PR,2019,3505.5130846898824,5907.428571428572,19,9706,28
PW,2019,2640,3000,1,137,2
RI,2019,7878.642138697724,28178.451341399264,3,3778,1901
SC,2019,10047.578143360752,22906.38919821826,33,17871,5388
SD,2019,5741.785775862069,10852.073345259392,12,4640,2236
TN,2019,5967.585245544231,23540.23831317424,23,36694,3059
