stabbr,year,top_20,top_50,top_100,top_150
NJ,2013,0,0,1,3
NJ,2014,0,0,1,3
NJ,2015,0,0,1,3
NJ,2016,0,0,1,3
NJ,2017,0,0,1,3
NJ,2018,0,0,1,3
NJ,2019,0,0,1,3
NJ,2020,0,0,2,3
NJ,2021,0,0,1,3
NJ,2022,0,0,1,4
NJ,2023,0,0,2,4
NJ,2024,0,1,4,4
NY,2012,0,0,2,5
NY,2013,0,0,3,5
NY,2014,0,0,3,5
NY,2015,0,0,3,5
NY,2016,0,0,4,5
NY,2017,0,0,4,5
NY,2018,0,0,4,4
NY,2019,0,0,3,5
NY,2020,0,0,3,5
NY,2021,0,0,3,4
NY,2022,0,0,3,5
NY,2023,0,0,3,4
NY,2024,0,0,3,6
OH,2012,0,0,2,4
OH,2013,0,0,2,4
OH,2014,0,0,2,4
OH,2015,0,0,2,4
OH,2016,0,0,2,4
OH,2017,0,0,2,4
OH,2018,0,0,2,3
OH,2019,0,0,2,3
OH,2020,0,0,2,3
OH,2021,0,0,1,3
OH,2022,0,1,1,3
OH,2023,0,1,1,2
OH,2024,0,1,1,3
OK,2012,0,0,0,2
OK,2013,0,0,0,2
OK,2014,0,0,0,2
OK,2015,0,0,0,2
OK,2016,0,0,0,2
OK,2017,0,0,0,1
OK,2018,0,0,1,1
OK,2019,0,0,0,1
OK,2020,0,0,0,1
OK,2021,0,0,0,1
OK,2022,0,0,0,1
OK,2023,0,0,0,1
OK,2024,0,0,0,1
OR,2012,0,0,0,2
OR,2013,0,0,0,2
OR,2014,0,0,0,2
OR,2015,0,0,0,2
OR,2016,0,0,0,2
OR,2017,0,0,0,2
OR,2018,0,0,0,2
OR,2019,0,0,0,2
OR,2020,0,0,0,2
OR,2021,0,0,0,1
OR,2022,0,0,1,1
OR,2023,0,0,0,1
OR,2024,0,0,1,2
PA,2012,0,1,2,3
PA,2013,0,1,2,3
PA,2014,0,1,2,3
PA,2015,0,1,2,3
PA,2016,0,1,2,3
PA,2017,0,1,2,3
PA,2018,0,0,2,3
PA,2019,0,0,2,3
PA,2020,0,0,2,3
PA,2021,0,0,2,3
PA,2022,0,0,2,3
PA,2023,0,0,2,3
PA,2024,0,0,3,3
RI,2013,0,0,0,1
SC,2012,0,0,1,3
SC,2013,0,0,1,3
SC,2014,0,0,1,2
SC,2015,0,0,1,2
SC,2016,0,0,1,2
SC,2017,0,0,1,2
SC,2018,0,0,1,2
SC,2019,0,0,1,2
SC,2020,0,0,1,2
SC,2021,0,0,1,2
SC,2022,0,0,1,2
SC,2023,0,0,1,2
SC,2024,0,0,1,2
TN,2012,0,0,0,1
TN,2013,0,0,0,1
TN,2014,0,0,0,1
TN,2015,0,0,0,1
TN,2016,0,0,0,1
TN,2017,0,0,0,1
TN,2018,0,0,0,1
TN,2019,0,0,0,1
TN,2020,0,0,0,1
TN,2021,0,0,0,1
TN,2022,0,0,0,1
TN,2023,0,0,0,1
TN,2024,0,0,0,1
TX,2012,0,1,2,3
TX,2013,0,1,2,2
TX,2014,0,0,2,3
TX,2015,0,0,2,3
TX,2016,0,0,2,3
TX,2017,0,0,2,3
TX,2018,0,0,2,3
TX,2019,0,1,2,3
TX,2020,0,1,2,3
TX,2021,0,1,2,3
TX,2022,0,1,2,3
TX,2023,0,1,2,2
TX,2024,0,2,2,4
UT,2012,0,0,0,1
UT,2013,0,0,0,1
UT,2014,0,0,0,1
UT,2015,0,0,0,1
UT,2016,0,0,0,1
UT,2017,0,0,0,1
UT,2018,0,0,0,1
UT,2019,0,0,0,1
UT,2020,0,0,0,1
UT,2021,0,0,1,1
UT,2022,0,0,1,1
UT,2023,0,0,0,1
UT,2024,0,0,0,1
VA,2012,0,2,3,4
VA,2013,0,2,3,4
VA,2014,0,2,3,4
VA,2015,0,2,3,4
VA,2016,0,2,3,4
VA,2017,0,2,3,4
VA,2018,0,2,3,4
VA,2019,0,2,3,4
VA,2020,0,2,3,3
VA,2021,0,2,3,4
VA,2022,0,2,3,4
VA,2023,0,2,3,4
VA,2024,0,2,3,5
VT,2012,0,0,1,1
VT,2013,0,0,1,1
VT,2014,0,0,1,1
VT,2015,0,0,1,1
VT,2016,0,0,1,1
VT,2017,0,0,1,1
VT,2018,0,0,1,1
VT,2019,0,0,1,1
VT,2020,0,0,0,1
VT,2021,0,0,0,1
VT,2022,0,0,0,1
VT,2023,0,0,0,1
VT,2024,0,0,0,1
WA,2012,0,1,1,2
WA,2013,0,1,1,2
WA,2014,0,0,1,2
WA,2015,0,1,1,2
WA,2016,0,0,1,2
WA,2017,0,0,1,2
WA,2018,0,0,1,2
WA,2019,0,0,1,2
WA,2020,0,0,1,1
WA,2021,0,0,1,1
WA,2022,0,0,1,1
WA,2023,0,0,1,1
WA,2024,0,1,1,1
WI,2012,0,1,1,1
WI,2013,0,1,1,1
WI,2014,0,1,1,1
WI,2015,0,1,1,1
WI,2016,0,1,1,1
WI,2017,0,1,1,1
WI,2018,0,1,1,1
WI,2019,0,1,1,1
WI,2020,0,1,1,1
WI,2021,0,1,1,1
WI,2022,0,1,1,1
WI,2023,0,1,1,1
WI,2024,0,1,1,1
AL,2025,0,0,1,2
AR,2025,0,0,0,0
AZ,2025,0,0,0,2
CA,2025,2,6,9,12
CO,2025,0,0,1,2
CT,2025,0,0,1,1
DE,2025,0,0,1,1
FL,2025,0,1,3,4
GA,2025,0,2,2,2
IA,2025,0,0,1,2
IL,2025,0,1,2,2
IN,2025,0,1,2,2
KS,2025,0,0,0,0
KY,2025,0,0,0,0
MA,2025,0,0,1,1
MD,2025,0,1,1,2
MI,2025,0,1,2,2
MN,2025,0,0,1,1
MO,2025,0,0,0,1
MS,2025,0,0,0,0
NC,2025,0,1,2,2
NE,2025,0,0,0,0
NH,2025,0,0,0,1
NJ,2025,0,1,4,4
NY,2025,0,0,3,6
OH,2025,0,1,1,3
OK,2025,0,0,0,1
OR,2025,0,0,1,2
PA,2025,0,0,3,3
SC,2025,0,0,1,2
TN,2025,0,0,0,1
TX,2025,0,2,2,4
UT,2025,0,0,0,1
VA,2025,0,2,3,5
VT,2025,0,0,0,1
WA,2025,0,1,1,1
WI,2025,0,1,1,1
AL,2026,0,0,1,2
AR,2026,0,0,0,0
AZ,2026,0,0,0,2
CA,2026,2,6,9,12
CO,2026,0,0,1,2
CT,2026,0,0,1,1
DE,2026,0,0,1,1
FL,2026,0,1,3,4
GA,2026,0,2,2,2
IA,2026,0,0,1,2
IL,2026,0,1,2,2
IN,2026,0,1,2,2
KS,2026,0,0,0,0
KY,2026,0,0,0,0
MA,2026,0,0,1,1
MD,2026,0,1,1,2
MI,2026,0,1,2,2
MN,2026,0,0,1,1
MO,2026,0,0,0,1
MS,2026,0,0,0,0
NC,2026,0,1,2,2
NE,2026,0,0,0,0
NH,2026,0,0,0,1
NJ,2026,0,1,4,4
NY,2026,0,0,3,6
OH,2026,0,1,1,3
OK,2026,0,0,0,1
OR,2026,0,0,1,2
PA,2026,0,0,3,3
SC,2026,0,0,1,2
TN,2026,0,0,0,1
TX,2026,0,2,2,4
UT,2026,0,0,0,1
VA,2026,0,2,3,5
VT,2026,0,0,0,1
WA,2026,0,1,1,1
WI,2026,0,1,1,1
