ZCTA,year,Real_GDP_per_capita_ZCTA,Unemployment_Rate_ZCTA
01012,2023,47624.548845406374,3.2
01012,2024,48590.28168247692,3.8
01012,2025,48590.28168247692,3.8
01012,2026,48590.28168247692,3.8
01013,2012,46638.46311887651,8.6
01013,2013,46887.48964091348,8.6
01013,2014,46737.251931783365,7.6
01013,2015,47850.054913245585,6.4
01013,2016,48025.631339808395,5.5
01013,2017,47305.61860127468,5.3
01013,2018,47556.85527805556,4.9
01013,2019,48816.52362813696,4.3
01013,2020,48444.87119215723,10.9
01013,2021,50514.030347570464,6.8
01013,2022,50165.95657073509,4.8
01013,2023,50458.69975418066,4.5
01013,2024,51050.884302737686,5.1
01013,2025,51050.884302737686,5.1
01013,2026,51050.884302737686,5.1
01020,2012,46638.46311887651,8.6
01020,2013,46887.48964091348,8.6
01020,2014,46737.251931783365,7.6
01020,2015,47850.054913245585,6.4
01020,2016,48025.631339808395,5.5
01020,2017,47305.61860127468,5.3
01020,2018,47556.85527805556,4.9
01020,2019,48816.52362813696,4.3
01020,2020,48444.87119215723,10.9
01020,2021,50514.030347570464,6.8
01020,2022,50165.95657073509,4.8
01020,2023,50458.69975418066,4.5
01020,2024,51050.884302737686,5.1
01020,2025,51050.884302737686,5.1
01020,2026,51050.884302737686,5.1
01022,2012,46638.46311887651,8.6
01022,2013,46887.48964091348,8.6
01022,2014,46737.251931783365,7.6
01022,2015,47850.054913245585,6.4
01022,2016,48025.631339808395,5.5
01022,2017,47305.61860127468,5.3
01022,2018,47556.85527805556,4.9
01022,2019,48816.52362813696,4.3
01022,2020,48444.87119215723,10.9
01022,2021,50514.030347570464,6.8
01022,2022,50165.95657073509,4.8
01022,2023,50458.69975418066,4.5
01022,2024,51050.884302737686,5.1
01022,2025,51050.884302737686,5.1
01022,2026,51050.884302737686,5.1
01026,2012,43292.22390192949,5.8759999999999994
01026,2013,43609.81744766041,6.0665
01026,2014,43692.339108796084,5.36175
01026,2015,45759.28711347128,4.54275
01026,2016,46270.02446796016,4.02375
01026,2017,47392.24952107231,3.7332500000000004
01026,2018,47823.93048711326,3.24275
01026,2019,48516.0496485931,2.9332499999999997
01026,2020,50786.57019849431,7.79025
01026,2021,46472.68652868727,4.86175
01026,2022,47166.919211406246,3.5332500000000002
01026,2023,47976.94845740814,3.22375
01026,2024,48940.94663366564,3.8095
01026,2025,48940.94663366564,3.8095
01026,2026,48940.94663366564,3.8095
01027,2012,42723.73703111288,5.8
01027,2013,43031.05636292588,6.0
01027,2014,43082.60012887875,5.3
01027,2015,45224.712483337986,4.5
01027,2016,45775.14774648061,4.0
01027,2017,47051.86931210057,3.7
01027,2018,47470.60059837302,3.2
01027,2019,48240.00887141986,2.9
01027,2020,50701.61990456898,7.7
01027,2021,46128.976367458454,4.8
01027,2022,46779.119331064045,3.5
01027,2023,47624.548845406374,3.2
01027,2024,48590.28168247692,3.8
01027,2025,48590.28168247692,3.8
01027,2026,48590.28168247692,3.8
01028,2012,46638.46311887651,8.6
01028,2013,46887.48964091348,8.6
01028,2014,46737.251931783365,7.6
01028,2015,47850.054913245585,6.4
01028,2016,48025.631339808395,5.5
01028,2017,47305.61860127468,5.3
01028,2018,47556.85527805556,4.9
01028,2019,48816.52362813696,4.3
01028,2020,48444.87119215723,10.9
01028,2021,50514.030347570464,6.8
01028,2022,50165.95657073509,4.8
01028,2023,50458.69975418066,4.5
01028,2024,51050.884302737686,5.1
01028,2025,51050.884302737686,5.1
01028,2026,51050.884302737686,5.1
01029,2012,54691.8816798836,7.4
01029,2013,55215.50025207388,7.4
01029,2014,55919.21023240159,6.6
01029,2015,56478.91522298621,5.4
01029,2016,56193.605040786926,4.5
01029,2017,54217.76844834771,4.4
01029,2018,54909.12457185176,4.1
01029,2019,54051.39365401445,3.6
01029,2020,52490.04714510215,9.6
01029,2021,53364.979761749324,6.1
01029,2022,54943.327338268326,4.2
01029,2023,55043.48804544361,3.7
01029,2024,55972.701707502754,4.0
01029,2025,55972.701707502754,4.0
01029,2026,55972.701707502754,4.0
01030,2012,46638.46311887651,8.6
01030,2013,46887.48964091348,8.6
01030,2014,46737.251931783365,7.6
01030,2015,47850.054913245585,6.4
01030,2016,48025.631339808395,5.5
01030,2017,47305.61860127468,5.3
01030,2018,47556.85527805556,4.9
01030,2019,48816.52362813696,4.3
01030,2020,48444.87119215723,10.9
01030,2021,50514.030347570464,6.8
01030,2022,50165.95657073509,4.8
01030,2023,50458.69975418066,4.5
01030,2024,51050.884302737686,5.1
01030,2025,51050.884302737686,5.1
01030,2026,51050.884302737686,5.1
01031,2012,49503.20868617011,7.2
01031,2013,49753.465125988536,7.1
01031,2014,49824.2061482821,6.1
01031,2015,50633.65697884574,5.1
01031,2016,50742.53986982834,4.2
01031,2017,50081.54238569534,4.0
01031,2018,50719.27941829745,3.6
01031,2019,51172.888251195385,3.3
01031,2020,50572.701646964386,9.1
01031,2021,53397.046813881294,5.4
01031,2022,54000.79239028109,3.8
01031,2023,54182.7676718839,3.6
01031,2024,54656.63354696975,4.1
01031,2025,54656.63354696975,4.1
01031,2026,54656.63354696975,4.1
01032,2012,42723.73703111288,5.8
01032,2013,43031.05636292588,6.0
01032,2014,43082.60012887875,5.3
01032,2015,45224.712483337986,4.5
01032,2016,45775.14774648061,4.0
01032,2017,47051.86931210057,3.7
01032,2018,47470.60059837302,3.2
01032,2019,48240.00887141986,2.9
01032,2020,50701.61990456898,7.7
01032,2021,46128.976367458454,4.8
01032,2022,46779.119331064045,3.5
01032,2023,47624.548845406374,3.2
01032,2024,48590.28168247692,3.8
01032,2025,48590.28168247692,3.8
01032,2026,48590.28168247692,3.8
01033,2012,42723.73703111288,5.8
01033,2013,43031.05636292588,6.0
01033,2014,43082.60012887875,5.3
01033,2015,45224.712483337986,4.5
01033,2016,45775.14774648061,4.0
01033,2017,47051.86931210057,3.7
01033,2018,47470.60059837302,3.2
01033,2019,48240.00887141986,2.9
01033,2020,50701.61990456898,7.7
01033,2021,46128.976367458454,4.8
01033,2022,46779.119331064045,3.5
01033,2023,47624.548845406374,3.2
01033,2024,48590.28168247692,3.8
01033,2025,48590.28168247692,3.8
01033,2026,48590.28168247692,3.8
01034,2012,46638.46311887651,8.6
01034,2013,46887.48964091348,8.6
01034,2014,46737.251931783365,7.6
01034,2015,47850.054913245585,6.4
01034,2016,48025.631339808395,5.5
01034,2017,47305.61860127468,5.3
01034,2018,47556.85527805556,4.9
01034,2019,48816.52362813696,4.3
01034,2020,48444.87119215723,10.9
01034,2021,50514.030347570464,6.8
01034,2022,50165.95657073509,4.8
01034,2023,50458.69975418066,4.5
01034,2024,51050.884302737686,5.1
01034,2025,51050.884302737686,5.1
01034,2026,51050.884302737686,5.1
01035,2012,42723.73703111288,5.8
01035,2013,43031.05636292588,6.0
01035,2014,43082.60012887875,5.3
01035,2015,45224.712483337986,4.5
01035,2016,45775.14774648061,4.0
01035,2017,47051.86931210057,3.7
01035,2018,47470.60059837302,3.2
01035,2019,48240.00887141986,2.9
01035,2020,50701.61990456898,7.7
01035,2021,46128.976367458454,4.8
01035,2022,46779.119331064045,3.5
01035,2023,47624.548845406374,3.2
01035,2024,48590.28168247692,3.8
01035,2025,48590.28168247692,3.8
01035,2026,48590.28168247692,3.8
01036,2012,46638.46311887651,8.6
01036,2013,46887.48964091348,8.6
01036,2014,46737.251931783365,7.6
01036,2015,47850.054913245585,6.4
01036,2016,48025.631339808395,5.5
01036,2017,47305.61860127468,5.3
01036,2018,47556.85527805556,4.9
01036,2019,48816.52362813696,4.3
01036,2020,48444.87119215723,10.9
01036,2021,50514.030347570464,6.8
01036,2022,50165.95657073509,4.8
01036,2023,50458.69975418066,4.5
01036,2024,51050.884302737686,5.1
01036,2025,51050.884302737686,5.1
01036,2026,51050.884302737686,5.1
01037,2012,49503.20868617011,7.2
01037,2013,49753.465125988536,7.1
01037,2014,49824.2061482821,6.1
01037,2015,50633.65697884574,5.1
01037,2016,50742.53986982834,4.2
01037,2017,50081.54238569534,4.0
01037,2018,50719.27941829745,3.6
01037,2019,51172.888251195385,3.3
01037,2020,50572.701646964386,9.1
01037,2021,53397.046813881294,5.4
01037,2022,54000.79239028109,3.8
01037,2023,54182.7676718839,3.6
01037,2024,54656.63354696975,4.1
01037,2025,54656.63354696975,4.1
01037,2026,54656.63354696975,4.1
01038,2012,42723.73703111288,5.8
01038,2013,43031.05636292588,6.0
01038,2014,43082.60012887875,5.3
01038,2015,45224.712483337986,4.5
01038,2016,45775.14774648061,4.0
01038,2017,47051.86931210057,3.7
01038,2018,47470.60059837302,3.2
01038,2019,48240.00887141986,2.9
01038,2020,50701.61990456898,7.7
01038,2021,46128.976367458454,4.8
01038,2022,46779.119331064045,3.5
01038,2023,47624.548845406374,3.2
01038,2024,48590.28168247692,3.8
01038,2025,48590.28168247692,3.8
01038,2026,48590.28168247692,3.8
01039,2012,41648.78318996205,5.8681
01039,2013,42085.08731344978,6.0227
01039,2014,42049.64156454532,5.3
01039,2015,44080.20589877371,4.4773
01039,2016,44620.76832404385,3.9773
01039,2017,45294.69211854252,3.7
01039,2018,45983.70402486444,3.2227
01039,2019,46628.81326462183,2.9227
01039,2020,48650.40283895125,7.904300000000001
01039,2021,45000.82014261054,4.8908000000000005
01039,2022,45223.74463348253,3.5227000000000004
01039,2023,46721.028840056286,3.2
01039,2024,46836.94249355659,3.7546
01039,2025,46836.94249355659,3.7546
01039,2026,46836.94249355659,3.7546
01040,2012,46638.46311887651,8.6
01040,2013,46887.48964091348,8.6
01040,2014,46737.251931783365,7.6
01040,2015,47850.054913245585,6.4
01040,2016,48025.631339808395,5.5
01040,2017,47305.61860127468,5.3
01040,2018,47556.85527805556,4.9
01040,2019,48816.52362813696,4.3
01040,2020,48444.87119215723,10.9
01040,2021,50514.030347570464,6.8
01040,2022,50165.95657073509,4.8
01040,2023,50458.69975418066,4.5
01040,2024,51050.884302737686,5.1
01040,2025,51050.884302737686,5.1
01040,2026,51050.884302737686,5.1
01050,2012,43234.60878556604,6.1654
01050,2013,43534.320905703265,6.339300000000001
01050,2014,43559.532189157806,5.600149999999999
01050,2015,45567.319670440935,4.74795
01050,2016,46068.83585540988,4.19575
01050,2017,47084.98359433779,3.9088000000000003
01050,2018,47481.856834071594,3.4218500000000005
01050,2019,48315.24404717144,3.0827
01050,2020,50407.11419759925,8.117600000000001
01050,2021,46701.225911863075,5.061
01050,2022,47221.10159084112,3.66965
01050,2023,47994.40553900142,3.3696500000000005
01050,2024,48911.39032442095,3.96965
01050,2025,48911.39032442095,3.96965
01050,2026,48911.39032442095,3.96965
01053,2012,42723.73703111288,5.8
01053,2013,43031.05636292588,6.0
01053,2014,43082.60012887875,5.3
01053,2015,45224.712483337986,4.5
01053,2016,45775.14774648061,4.0
01053,2017,47051.86931210057,3.7
01053,2018,47470.60059837302,3.2
01053,2019,48240.00887141986,2.9
01053,2020,50701.61990456898,7.7
01053,2021,46128.976367458454,4.8
01053,2022,46779.119331064045,3.5
01053,2023,47624.548845406374,3.2
01053,2024,48590.28168247692,3.8
01053,2025,48590.28168247692,3.8
01053,2026,48590.28168247692,3.8
01054,2012,37988.2575546775,6.1
01054,2013,38863.79182778887,6.1
01054,2014,38532.121871903306,5.3
01054,2015,40182.83325618258,4.4
01054,2016,40689.77584147284,3.9
01054,2017,39311.00061801225,3.7
01054,2018,40920.39542873168,3.3
01054,2019,41142.23086790431,3.0
01054,2020,41665.42137761863,8.6
01054,2021,41159.125156674694,5.2
01054,2022,39927.248416608025,3.6
01054,2023,43644.28450465707,3.2
01054,2024,40866.32049780587,3.6
01054,2025,40866.32049780587,3.6
01054,2026,40866.32049780587,3.6
01056,2012,46638.46311887651,8.6
01056,2013,46887.48964091348,8.6
01056,2014,46737.251931783365,7.6
01056,2015,47850.054913245585,6.4
01056,2016,48025.631339808395,5.5
01056,2017,47305.61860127468,5.3
01056,2018,47556.85527805556,4.9
01056,2019,48816.52362813696,4.3
01056,2020,48444.87119215723,10.9
01056,2021,50514.030347570464,6.8
01056,2022,50165.95657073509,4.8
01056,2023,50458.69975418066,4.5
01056,2024,51050.884302737686,5.1
01056,2025,51050.884302737686,5.1
01056,2026,51050.884302737686,5.1
01057,2012,46638.46311887651,8.6
01057,2013,46887.48964091348,8.6
01057,2014,46737.251931783365,7.6
01057,2015,47850.054913245585,6.4
01057,2016,48025.631339808395,5.5
01057,2017,47305.61860127468,5.3
01057,2018,47556.85527805556,4.9
01057,2019,48816.52362813696,4.3
01057,2020,48444.87119215723,10.9
01057,2021,50514.030347570464,6.8
01057,2022,50165.95657073509,4.8
01057,2023,50458.69975418066,4.5
01057,2024,51050.884302737686,5.1
01057,2025,51050.884302737686,5.1
01057,2026,51050.884302737686,5.1
01060,2012,42723.73703111288,5.8
01060,2013,43031.05636292588,6.0
01060,2014,43082.60012887875,5.3
01060,2015,45224.712483337986,4.5
01060,2016,45775.14774648061,4.0
01060,2017,47051.86931210057,3.7
01060,2018,47470.60059837302,3.2
01060,2019,48240.00887141986,2.9
01060,2020,50701.61990456898,7.7
01060,2021,46128.976367458454,4.8
01060,2022,46779.119331064045,3.5
01060,2023,47624.548845406374,3.2
01060,2024,48590.28168247692,3.8
01060,2025,48590.28168247692,3.8
01060,2026,48590.28168247692,3.8
01062,2012,42723.73703111288,5.8
01062,2013,43031.05636292588,6.0
01062,2014,43082.60012887875,5.3
01062,2015,45224.712483337986,4.5
01062,2016,45775.14774648061,4.0
01062,2017,47051.86931210057,3.7
01062,2018,47470.60059837302,3.2
01062,2019,48240.00887141986,2.9
01062,2020,50701.61990456898,7.7
01062,2021,46128.976367458454,4.8
01062,2022,46779.119331064045,3.5
01062,2023,47624.548845406374,3.2
01062,2024,48590.28168247692,3.8
01062,2025,48590.28168247692,3.8
01062,2026,48590.28168247692,3.8
01063,2012,42723.73703111288,5.8
01063,2013,43031.05636292588,6.0
01063,2014,43082.60012887875,5.3
01063,2015,45224.712483337986,4.5
01063,2016,45775.14774648061,4.0
01063,2017,47051.86931210057,3.7
01063,2018,47470.60059837302,3.2
01063,2019,48240.00887141986,2.9
01063,2020,50701.61990456898,7.7
01063,2021,46128.976367458454,4.8
01063,2022,46779.119331064045,3.5
01063,2023,47624.548845406374,3.2
01063,2024,48590.28168247692,3.8
01063,2025,48590.28168247692,3.8
01063,2026,48590.28168247692,3.8
01066,2012,42723.73703111288,5.8
01066,2013,43031.05636292588,6.0
01066,2014,43082.60012887875,5.3
01066,2015,45224.712483337986,4.5
01066,2016,45775.14774648061,4.0
01066,2017,47051.86931210057,3.7
01066,2018,47470.60059837302,3.2
01066,2019,48240.00887141986,2.9
01066,2020,50701.61990456898,7.7
01066,2021,46128.976367458454,4.8
01066,2022,46779.119331064045,3.5
01066,2023,47624.548845406374,3.2
01066,2024,48590.28168247692,3.8
01066,2025,48590.28168247692,3.8
01066,2026,48590.28168247692,3.8
01068,2012,49503.20868617011,7.2
01068,2013,49753.465125988536,7.1
01068,2014,49824.2061482821,6.1
01068,2015,50633.65697884574,5.1
01068,2016,50742.53986982834,4.2
01068,2017,50081.54238569534,4.0
01068,2018,50719.27941829745,3.6
01068,2019,51172.888251195385,3.3
01068,2020,50572.701646964386,9.1
01068,2021,53397.046813881294,5.4
01068,2022,54000.79239028109,3.8
01068,2023,54182.7676718839,3.6
01068,2024,54656.63354696975,4.1
01068,2025,54656.63354696975,4.1
01068,2026,54656.63354696975,4.1
01069,2012,46631.02513930976,8.59468
01069,2013,46880.16241768531,8.59506
01069,2014,46730.308093357846,7.595629999999999
01069,2015,47845.06676262876,6.39639
01069,2016,48021.355420981075,5.4971499999999995
01069,2017,47305.136477625245,5.29696
01069,2018,47556.69139416417,4.89677
01069,2019,48815.4282500992,4.29734
01069,2020,48449.159014710815,10.893920000000001
01069,2021,50505.698745008245,6.7962
01069,2022,50159.521579979715,4.797529999999999
01069,2023,50453.31486745399,4.49753
01069,2024,51046.20915775919,5.09753
01069,2025,51046.20915775919,5.09753
01069,2026,51046.20915775919,5.09753
01070,2012,43304.19204657826,5.8776
01070,2013,43622.00189154956,6.0679
01070,2014,43705.175718899605,5.36305
01070,2015,45770.541316210925,4.5436499999999995
01070,2016,46280.442925254465,4.02425
01070,2017,47399.415420208556,3.73395
01070,2018,47831.36901108674,3.2436500000000006
01070,2019,48521.861033375695,2.93395
01070,2020,50788.358625734836,7.79215
01070,2021,46479.92253208156,4.863049999999999
01070,2022,47175.08341941346,3.53395
01070,2023,47984.36739660818,3.2242500000000005
01070,2024,48948.32905369067,3.8097
01070,2025,48948.32905369067,3.8097
01070,2026,48948.32905369067,3.8097
01071,2012,46638.46311887651,8.6
01071,2013,46887.48964091348,8.6
01071,2014,46737.251931783365,7.6
01071,2015,47850.054913245585,6.4
01071,2016,48025.631339808395,5.5
01071,2017,47305.61860127468,5.3
01071,2018,47556.85527805556,4.9
01071,2019,48816.52362813696,4.3
01071,2020,48444.87119215723,10.9
01071,2021,50514.030347570464,6.8
01071,2022,50165.95657073509,4.8
01071,2023,50458.69975418066,4.5
01071,2024,51050.884302737686,5.1
01071,2025,51050.884302737686,5.1
01071,2026,51050.884302737686,5.1
01072,2012,37988.2575546775,6.1
01072,2013,38863.79182778887,6.1
01072,2014,38532.121871903306,5.3
01072,2015,40182.83325618258,4.4
01072,2016,40689.77584147284,3.9
01072,2017,39311.00061801225,3.7
01072,2018,40920.39542873168,3.3
01072,2019,41142.23086790431,3.0
01072,2020,41665.42137761863,8.6
01072,2021,41159.125156674694,5.2
01072,2022,39927.248416608025,3.6
01072,2023,43644.28450465707,3.2
01072,2024,40866.32049780587,3.6
01072,2025,40866.32049780587,3.6
01072,2026,40866.32049780587,3.6
01073,2012,42723.73703111288,5.8
01073,2013,43031.05636292588,6.0
01073,2014,43082.60012887875,5.3
01073,2015,45224.712483337986,4.5
01073,2016,45775.14774648061,4.0
01073,2017,47051.86931210057,3.7
01073,2018,47470.60059837302,3.2
01073,2019,48240.00887141986,2.9
01073,2020,50701.61990456898,7.7
01073,2021,46128.976367458454,4.8
01073,2022,46779.119331064045,3.5
01073,2023,47624.548845406374,3.2
01073,2024,48590.28168247692,3.8
01073,2025,48590.28168247692,3.8
01073,2026,48590.28168247692,3.8
01074,2012,49503.20868617011,7.2
01074,2013,49753.465125988536,7.1
01074,2014,49824.2061482821,6.1
01074,2015,50633.65697884574,5.1
01074,2016,50742.53986982834,4.2
01074,2017,50081.54238569534,4.0
01074,2018,50719.27941829745,3.6
01074,2019,51172.888251195385,3.3
01074,2020,50572.701646964386,9.1
01074,2021,53397.046813881294,5.4
01074,2022,54000.79239028109,3.8
01074,2023,54182.7676718839,3.6
01074,2024,54656.63354696975,4.1
01074,2025,54656.63354696975,4.1
01074,2026,54656.63354696975,4.1
01075,2012,42723.73703111288,5.8
01075,2013,43031.05636292588,6.0
01075,2014,43082.60012887875,5.3
01075,2015,45224.712483337986,4.5
01075,2016,45775.14774648061,4.0
01075,2017,47051.86931210057,3.7
01075,2018,47470.60059837302,3.2
01075,2019,48240.00887141986,2.9
01075,2020,50701.61990456898,7.7
